,smsg,tmsg,version_number,biotsavart_tag,biotsavart_stage,order,nqpts_total,is_virtualcasing,max_coil_length,max_coil_length_constraint,max_coil_curvature,max_coil_curvature_constraint,min_coil_coil_distance,min_coil_coil_distance_constraint,max_poloidal_extent,max_poloidal_extent_constraint,max_ellipse_width,max_ellipse_width_constraint,min_global_curvature_radius,min_global_curvature_radius_constraint,winding_surface_major_radius,winding_surface_minor_radius,TF_coil_current_0_kA,TF_coil_current_0_fixed,TF_coil_current_1_kA,TF_coil_current_1_fixed,TF_coil_current_2_kA,TF_coil_current_2_fixed,TF_coil_current_3_kA,TF_coil_current_3_fixed,TF_coil_current_4_kA,TF_coil_current_4_fixed,TF_coil_current_5_kA,TF_coil_current_5_fixed,TF_coil_current_6_kA,TF_coil_current_6_fixed,TF_coil_current_7_kA,TF_coil_current_7_fixed,TF_coil_current_8_kA,TF_coil_current_8_fixed,TF_coil_current_9_kA,TF_coil_current_9_fixed,TF_coil_current_10_kA,TF_coil_current_10_fixed,TF_coil_current_11_kA,TF_coil_current_11_fixed,TF_coil_current_12_kA,TF_coil_current_12_fixed,TF_coil_current_13_kA,TF_coil_current_13_fixed,TF_coil_current_14_kA,TF_coil_current_14_fixed,TF_coil_current_15_kA,TF_coil_current_15_fixed,TF_coil_current_16_kA,TF_coil_current_16_fixed,TF_coil_current_17_kA,TF_coil_current_17_fixed,TF_coil_current_18_kA,TF_coil_current_18_fixed,TF_coil_current_19_kA,TF_coil_current_19_fixed,banana_coil_current_0_kA,banana_coil_current_0_fixed,banana_coil_current_1_kA,banana_coil_current_1_fixed,banana_coil_current_2_kA,banana_coil_current_2_fixed,banana_coil_current_3_kA,banana_coil_current_3_fixed,banana_coil_current_4_kA,banana_coil_current_4_fixed,banana_coil_current_5_kA,banana_coil_current_5_fixed,banana_coil_current_6_kA,banana_coil_current_6_fixed,banana_coil_current_7_kA,banana_coil_current_7_fixed,banana_coil_current_8_kA,banana_coil_current_8_fixed,banana_coil_current_9_kA,banana_coil_current_9_fixed,proxy_coil_current_0_kA,proxy_coil_current_0_fixed,vf_coil_current_0_kA,vf_coil_current_0_fixed,vf_coil_current_1_kA,vf_coil_current_1_fixed,vf_coil_current_2_kA,vf_coil_current_2_fixed,vf_coil_current_3_kA,vf_coil_current_3_fixed,vf_coil_current_4_kA,vf_coil_current_4_fixed,vf_coil_current_5_kA,vf_coil_current_5_fixed,vf_coil_current_6_kA,vf_coil_current_6_fixed,vf_coil_current_7_kA,vf_coil_current_7_fixed,vf_coil_current_8_kA,vf_coil_current_8_fixed,vf_coil_current_9_kA,vf_coil_current_9_fixed,vf_coil_current_10_kA,vf_coil_current_10_fixed,vf_coil_current_11_kA,vf_coil_current_11_fixed,vf_coil_current_12_kA,vf_coil_current_12_fixed,vf_coil_current_13_kA,vf_coil_current_13_fixed,vf_coil_current_14_kA,vf_coil_current_14_fixed,vf_coil_current_15_kA,vf_coil_current_15_fixed,vf_coil_current_16_kA,vf_coil_current_16_fixed,vf_coil_current_17_kA,vf_coil_current_17_fixed,vf_coil_current_18_kA,vf_coil_current_18_fixed,vf_coil_current_19_kA,vf_coil_current_19_fixed,surface_tag,surface_stage,mpol,ntor,ntheta,nphi,is_presolved,min_coil_plasma_distance,min_coil_plasma_distance_constraint,surface_major_radius,surface_minor_radius,surface_volume,max_Bdotn_norm,min_Bdotn_norm,avg_Bdotn_norm,std_Bdotn_norm,nonQS_ratio,iota,G,max_Boozer_residual,min_Boozer_residual,avg_Boozer_residual,std_Boozer_residual,QS_error,constraint_weight,target_volume
0,ABNORMAL,,0,5N5wdSi6,singlestageopt,2,128,False,2.755114205896051,False,111.25924421457162,False,0.042725173008165855,False,115.44667909079664,False,0.19370097623376487,True,0.027615460416464132,True,0.903,0.142,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-15.999914194415963,False,15.999914194415963,False,-15.999914194415963,False,15.999914194415963,False,-15.999914194415963,False,15.999914194415963,False,-15.999914194415963,False,15.999914194415963,False,-15.999914194415963,False,15.999914194415963,False,0.5,True,0.07696190700694398,False,0.07696190617870852,False,0.07696190535565878,False,0.07696190453963919,False,0.07696190373235491,False,0.07696190293537332,False,0.0769619056329957,False,0.07696190481595572,False,0.07696190400715269,False,0.07696190320818062,False,0.0769619024204918,False,0.07696190164540428,False,-0.07696232158461826,False,-0.07696232158461826,False,-0.07696232158461826,False,-0.07696232158461826,False,-0.07696231575410879,False,-0.07696231575410879,False,-0.07696231575410879,False,-0.07696231575410879,False,5N5wdSi6,singlestageopt,12,12,32,127,True,0.04099981958921267,True,0.9393508961494499,0.0766713058484322,0.1089992012258667,0.02963405723303817,1.5050564679854652e-06,0.0036621538623261007,0.005463822144757985,0.013272622346852699,0.2662485284187393,-2.0109551609911485,0.059931209776636823,0.0004769001782242341,0.009200673622229547,0.010932993101314651,0.00020815764272469543,2.0,0.10922045783849745
1,CONVERGENCE,RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0,C639dCNq,singlestageopt,4,384,False,1.8406563085972905,True,60.688642271682305,True,0.046413886520813304,True,71.29078248104551,False,0.12005463891636067,True,0.05080383809632814,True,0.903,0.142,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-15.75573466707455,False,15.75573466707455,False,-15.75573466707455,False,15.75573466707455,False,-15.75573466707455,False,15.75573466707455,False,-15.75573466707455,False,15.75573466707455,False,-15.75573466707455,False,15.75573466707455,False,0.5,True,0.07692260133700567,False,0.0769226013710826,False,0.07692260140485561,False,0.07692260143825017,False,0.07692260147119771,False,0.0769226015036356,False,0.07692260133700767,False,0.07692260137108459,False,0.07692260140485761,False,0.07692260143825219,False,0.07692260147119973,False,0.07692260150363762,False,-0.07692258619703103,False,-0.07692258619703103,False,-0.07692258619703103,False,-0.07692258619703103,False,-0.07692258619702205,False,-0.07692258619702205,False,-0.07692258619702205,False,-0.07692258619702205,False,C639dCNq,singlestageopt,12,12,64,65,False,0.06346185409912475,True,0.9283209602214848,0.07392535990506205,0.10014166145412327,0.0033375426679051255,1.4443570827019936e-17,0.00043400041075187384,0.00052865445208014,0.0139087237834751,0.11427604185464518,-2.010762901354901,0.006928707509225167,3.492197217423453e-05,0.0012777207621545315,0.0011923329082780879,0.0002587694682122273,100.0,0.10014193370356808
2,CONVERGENCE,RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0,C9s17lfS,singlestageopt,4,384,False,1.6731171910194453,True,98.57573046070439,True,0.046257222258259074,True,60.95836727415274,True,0.10753770666306918,True,0.03336224413791176,True,0.903,0.142,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-15.255351477794015,False,15.255351477794015,False,-15.255351477794015,False,15.255351477794015,False,-15.255351477794015,False,15.255351477794015,False,-15.255351477794015,False,15.255351477794015,False,-15.255351477794015,False,15.255351477794015,False,0.5,True,0.07692235167168901,False,0.07692235168435638,False,0.07692235169688431,False,0.07692235170924545,False,0.0769223517214148,False,0.07692235173336968,False,0.07692235167169151,False,0.07692235168435888,False,0.07692235169688688,False,0.07692235170924805,False,0.07692235172141736,False,0.07692235173337222,False,-0.07692234647985871,False,-0.07692234647985871,False,-0.07692234647985871,False,-0.07692234647985871,False,-0.07692234647984479,False,-0.07692234647984479,False,-0.07692234647984479,False,-0.07692234647984479,False,C9s17lfS,singlestageopt,12,12,64,65,False,0.07607375647314728,True,0.9347426320635752,0.07353311956552003,0.09976719760595934,0.0009209422620379118,1.5148641541875276e-17,0.00012379278476627373,0.00014497611044516295,0.010149374061514038,0.08442543168131782,-2.0107253911027825,0.0018819954751043892,1.2624148008947017e-05,0.0003824260262716263,0.0003267379530596568,0.00015983935386324768,100.0,0.09976723926583635
3,CONVERGENCE,RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0,F69R6RVn_reduced_curvature,singlestageopt,4,384,False,1.8422363706266247,True,37.148708655420016,True,0.04608228568233677,False,82.39164903870314,False,0.1308565452835388,True,0.08704781248092534,True,0.903,0.142,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-15.32900509944881,False,15.32900509944881,False,-15.32900509944881,False,15.32900509944881,False,-15.32900509944881,False,15.32900509944881,False,-15.32900509944881,False,15.32900509944881,False,-15.32900509944881,False,15.32900509944881,False,0.5,True,0.07692398215378718,False,0.07692395784251894,False,0.0769239337075308,False,0.07692390980294485,False,0.07692388617886631,False,0.07692386288147932,False,0.07692398215393441,False,0.07692395784267289,False,0.07692393370769939,False,0.07692390980310242,False,0.07692388617904292,False,0.07692386288166145,False,-0.0769352397110796,False,-0.0769352397110796,False,-0.0769352397110796,False,-0.0769352397110796,False,-0.07693523970845133,False,-0.07693523970845133,False,-0.07693523970845133,False,-0.07693523970845133,False,F69R6RVn,singlestageopt,12,12,64,65,False,0.04170282657059641,True,0.9088761027249004,0.07465250291911357,0.09998231124985346,0.012661150721835551,3.370274664405119e-15,0.0017640400709554333,0.0023815431642322873,0.020234418816653103,0.18775770519084092,-2.0108552565096556,0.025554325918775128,4.628703234804773e-05,0.00454082515038167,0.00471922051727034,0.0004943177305083279,100.0,0.09998404785949673
4,,,0,KiLnQcN7,stage2opt,4,384,False,1.6750966610299767,True,100.08761957227918,False,0.07700437612587638,True,71.36113734772248,False,0.14101530798607476,True,0.032692170250218935,True,0.903,0.142,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-14.440104144590673,False,14.440104144590673,False,-14.440104144590673,False,14.440104144590673,False,-14.440104144590673,False,14.440104144590673,False,-14.440104144590673,False,14.440104144590673,False,-14.440104144590673,False,14.440104144590673,False,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,-0.0,True,-0.0,True,-0.0,True,-0.0,True,-0.0,True,-0.0,True,-0.0,True,-0.0,True,KiLnQcN7,init,12,12,64,65,False,0.0349576492664279,True,0.8688954971293684,0.04825037673135131,0.03992994434168164,0.041811371913938106,2.0132618028495508e-18,0.006032838580836182,0.00696236839118586,0.023445126076078782,,,,,,,,100.0,0.03992994434168164
5,,,0,KiLnQcN7,stage2opt,4,384,False,1.5573921765146346,True,100.10321912247014,False,0.0486901920438049,True,68.95826942272662,True,0.11725673181733268,True,0.032672418124306234,True,0.903,0.142,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-14.832067099429038,False,14.832067099429038,False,-14.832067099429038,False,14.832067099429038,False,-14.832067099429038,False,14.832067099429038,False,-14.832067099429038,False,14.832067099429038,False,-14.832067099429038,False,14.832067099429038,False,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,-0.0,True,-0.0,True,-0.0,True,-0.0,True,-0.0,True,-0.0,True,-0.0,True,-0.0,True,KiLnQcN7,init,12,12,64,65,True,0.04358663342906995,True,0.8765606050414205,0.04803802978201653,0.039928414340927317,0.006706355524079315,6.226784641734885e-18,0.001306780133756706,0.0010220415608297405,0.01602723064451547,,,,,,,,100.0,0.039928414340927317
6,CONVERGENCE,RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0,KiLnQcN7,singlestageopt,4,384,False,1.4441246775946555,True,58.15911303807147,True,0.04619798244111699,False,75.28337529530204,False,0.16484028832965447,True,0.1118285231159801,True,0.903,0.142,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-15.022804818549945,False,15.022804818549945,False,-15.022804818549945,False,15.022804818549945,False,-15.022804818549945,False,15.022804818549945,False,-15.022804818549945,False,15.022804818549945,False,-15.022804818549945,False,15.022804818549945,False,0.5,True,0.07692293792256441,False,0.07692293792129795,False,0.07692293791988053,False,0.07692293791857961,False,0.0769229379172575,False,0.07692293791591351,False,0.07692293792286073,False,0.0769229379214612,False,0.07692293792018003,False,0.07692293791887879,False,0.0769229379175582,False,0.07692293791621263,False,-0.07692293860818382,False,-0.07692293860818382,False,-0.07692293860818382,False,-0.07692293860818382,False,-0.0769229386071034,False,-0.0769229386071034,False,-0.0769229386071034,False,-0.0769229386071034,False,KiLnQcN7,singlestageopt,12,12,64,65,True,0.040482482221521725,True,0.8842650040932596,0.04787935744018732,0.040013708630645475,0.006017270900144835,1.633278015110408e-15,0.0003297122125906887,0.0005520660179399007,0.027152658195514757,0.2999960325248791,-2.010996270630711,0.014133447750841651,6.317510026753557e-06,0.0010320841606474987,0.0015523558420143973,0.0011004640548196482,100.0,0.04001403030878068
7,CONVERGENCE,RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0,KiLnQcN7,singlestageopt,4,384,False,1.5491074785521157,True,100.69758200685067,False,0.04950823307312546,True,68.41220288759627,True,0.11439585906554549,True,0.032668572961541624,True,0.903,0.142,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-15.023884482902808,False,15.023884482902808,False,-15.023884482902808,False,15.023884482902808,False,-15.023884482902808,False,15.023884482902808,False,-15.023884482902808,False,15.023884482902808,False,-15.023884482902808,False,15.023884482902808,False,0.5,True,0.07692293570466133,False,0.07692293570653706,False,0.0769229357083819,False,0.07692293571019194,False,0.07692293571196375,False,0.07692293571369424,False,0.0769229357046615,False,0.07692293570653723,False,0.07692293570838209,False,0.07692293571019213,False,0.07692293571196392,False,0.07692293571369441,False,-0.07692293508404063,False,-0.07692293508404063,False,-0.07692293508404063,False,-0.07692293508404063,False,-0.0769229350840407,False,-0.0769229350840407,False,-0.0769229350840407,False,-0.0769229350840407,False,KiLnQcN7,singlestageopt,12,12,64,65,False,0.0489938954758543,True,0.8800502831629018,0.047993846782807964,0.04001366662656562,0.0030881105650515093,3.2377813124077998e-18,0.0002909248327754936,0.00040088739919657125,0.015373290437231357,0.2999929542381915,-2.010996301418113,0.010134673809924543,1.0432031962587604e-05,0.000918791347082541,0.0010591032813584591,0.00038256994126601216,100.0,0.04001406167593244
8,,,0,KiLnQcN7_reduced_curvature,stage2opt,4,256,False,1.6247923664308221,True,36.501385339934444,True,0.08334585648735754,True,71.85200635865324,False,0.1252961026931982,True,0.06002794194438371,True,0.903,0.142,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,16.0,True,-16.0,True,16.0,True,-16.0,True,16.0,True,-16.0,True,16.0,True,-16.0,True,16.0,True,-16.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,-0.0,True,-0.0,True,-0.0,True,-0.0,True,-0.0,True,-0.0,True,-0.0,True,-0.0,True,KiLnQcN7,init,10,10,127,128,False,0.03572609216309738,True,0.8688954971293706,0.04825037673135135,0.03992994434168181,0.0375091250986723,1.7044544765147838e-17,0.006982842110685223,0.008157922113230475,0.022838708380044634,,,,,,,,100.0,0.03992994434168181
9,,,0,KiLnQcN7_reduced_curvature,stage2opt,4,384,False,1.534103394505991,True,36.49901737065845,True,0.046199979274895414,False,70.69378892124313,False,0.11942671992878381,True,0.06553203993072497,True,0.903,0.142,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-80.0,True,-14.644711676847812,False,14.644711676847812,False,-14.644711676847812,False,14.644711676847812,False,-14.644711676847812,False,14.644711676847812,False,-14.644711676847812,False,14.644711676847812,False,-14.644711676847812,False,14.644711676847812,False,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,-0.0,True,-0.0,True,-0.0,True,-0.0,True,-0.0,True,-0.0,True,-0.0,True,-0.0,True,KiLnQcN7,init,12,12,64,65,True,0.04361395914940818,True,0.8765606050414205,0.04803802978201653,0.039928414340927317,0.018221915459128882,6.268193900165381e-18,0.0017745971828833516,0.0019034391912672976,0.01701810523642002,,,,,,,,100.0,0.039928414340927317
